peanut,lung,neutral,qi,spleen,,,,,,
peanut oil,large intestine,neutral,spleen,,,,,,,
pear,cooling,lung,phlegm,spleen,stomach,yin,,,,
pearled barley,gall bladder,large intestine,lung,spleen,stomach,,,,,
peas,heart,large intestine,spleen,stomach,yin,,,,,
pepper,phlegm,warming,,,,,,,,
peppermint,cooling,liver,lung,phlegm,spleen,,,,,
perilla,lung,spleen,,,,,,,,
persimmon,cooling,heart,large intestine,lung,spleen,stomach,,,,
pheasant,heart,stomach,warming,,,,,,,
pidgeon,neutral,,,,,,,,,
pigeon,liver,,,,,,,,,
pine nuts,large intestine,liver,lung,,,,,,,
pinneapple,bladder,neutral,spleen,stomach,,,,,,
pistachio,large intestine,liver,,,,,,,,
plantain,large intestine,liver,spleen,,,,,,,
plum,bladder,large intestine,liver,spleen,stomach,warming,,,,
pomegranite,bladder,large intestine,spleen,stomach,,,,,,
pork,liver,neutral,spleen,stomach,yin,,,,,
pork feet,yin,,,,,,,,,
pork kidney,neutral,,,,,,,,,
pork liver,neutral,,,,,,,,,
pork lung,yin,,,,,,,,,
pork skin,blood,,,,,,,,,
potato,neutral,spleen,stomach,,,,,,,
prawn,yang,warming,,,,,,,,
pumpkin,large intestine,lung,qi,stomach,warming,,,,,
pumpkin seed,large intestine,spleen,stomach,,,,,,,
purselane,bladder,large intestine,liver,,,,,,,
quail,large intestine,liver,neutral,spleen,stomach,,,,,
quince,liver,spleen,stomach,,,,,,,
rabbit,cooling,large intestine,liver,neutral,qi,spleen,stomach,yin,,
radish,damp,lung,neutral,stagnation,phlegm,stomach,,,,
raspberry,liver,yang,warming,,,,,,,
raspberry leaf,stomach,,,,,,,,,
red beans,neutral,,,,,,,,,
rhubarb,large intestine,,,,,,,,,
rice,spleen,stomach,warming,,,,,,,
rice syrup,spleen,stomach,,,,,,,,
rice vinegar,warming,,,,,,,,,
river snail,cooling,,,,,,,,,
rosehip,bladder,large intestine,stomach,,,,,,,
rosemary,heart,liver,lung,spleen,yang,warming,,,,
royal jelly,liver,spleen,,,,,,,,
rumen,qi,,,,,,,,,
rye,damp,gall bladder,heart,liver,spleen,,,,,
saffron,heart,liver,,,,,,,,
sage,heart,liver,lung,,,,,,,
salmon,neutral,spleen,stomach,,,,,,,
salt,cooling,large intestine,small intestine,spleen,stomach,,,,,
sardines,blood,neutral,spleen,stomach,,,,,,
savory,lung,,,,,,,,,
scallion,heart,large intestine,lung,stomach,,,,,,
scallop,cooling,,,,,,,,,
sea cucumber,yin,,,,,,,,,
seaweed,cooling,phlegm,stomach,,,,,,,
